年度,醫事機構代碼,院所名稱,特約類別,人工膝關節置換後90天內發生手術傷口感染之案件數,人工膝關節置換案件數,人工膝關節置換病人數,傷口感染率,人工膝關節置換醫師數,病患平均年齡,病患重大傷病比率,分母重大傷病人數,縣市別,鄉鎮別
2014年上半年度,1502040021,健仁醫院,3,0,12,11,0%,2,68.6363,9.09%,1,64000,64000040
2014年全年度,1502040021,健仁醫院,3,0.0000,23.0000,20,0%,2,69.0000,10%,2,64000,64000040
2015年上半年度,1502040021,健仁醫院,3,0.0000,14.0000,14,0%,2,70.4285,7.14%,1,64000,64000040
2015年全年度,1502040021,健仁醫院,3,0.0000,18.0000,17,0%,2,69.6470,5.88%,1,64000,64000040
2016年上半年度,1502040021,健仁醫院,3,0.0000,1.0000,1,0%,1,74.0000,0%,0,64000,64000040
2016年全年度,1502040021,健仁醫院,3,0.0000,6.0000,5,0%,2,73.6000,20%,1,64000,64000040
2017年上半年度,1502040021,健仁醫院,3,0.0000,4.0000,4,0%,1,64.0000,25%,1,64000,64000040
2017年全年度,1502040021,健仁醫院,3,0.0000,14.0000,13,0%,2,70.6923,15.38%,2,64000,64000040
2018年上半年度,1502040021,健仁醫院,3,0.0000,10.0000,10,0%,2,66.3000,20%,2,64000,64000040
2018年全年度,1502040021,健仁醫院,3,0.0000,28.0000,25,0%,2,68.4400,16%,4,64000,64000040
2019年上半年度,1502040021,健仁醫院,3,1.0000,10.0000,10,10%,3,71.6000,10%,1,64000,64000040
2019年全年度,1502040021,健仁醫院,3,1.0000,20.0000,18,5%,3,71.1111,11.11%,2,64000,64000040
2020年上半年度,1502040021,健仁醫院,3,0.0000,5.0000,5,0%,2,73.0000,20%,1,64000,64000040
2020年全年度,1502040021,健仁醫院,3,0.0000,12.0000,12,0%,3,72.0833,8.33%,1,64000,64000040
2021年上半年度,1502040021,健仁醫院,3,0.0000,11.0000,11,0%,2,68.3636,18.18%,2,64000,64000040
2021年全年度,1502040021,健仁醫院,3,0.0000,20.0000,19,0%,3,69.8947,15.79%,3,64000,64000040
2022年上半年度,1502040021,健仁醫院,3,0.0000,13.0000,13,0%,2,73.3846,7.69%,1,64000,64000040
2022年全年度,1502040021,健仁醫院,3,0.0000,25.0000,24,0%,2,72.8333,12.5%,3,64000,64000040
2023年上半年度,1502040021,健仁醫院,3,0.0000,3.0000,3,0%,1,73.6666,0%,0,64000,64000040
2023年全年度,1502040021,健仁醫院,3,0.0000,10.0000,10,0%,2,73.4000,20%,2,64000,64000040
2024年上半年度,1502040021,健仁醫院,3,0.0000,9.0000,9,0%,3,74.1111,0%,0,64000,64000040
2024年全年度,1502040021,健仁醫院,3,0.0000,19.0000,18,0%,3,74.7777,0%,0,64000,64000040
2025年上半年度,1502040021,健仁醫院,3,0.0000,9.0000,9,0%,2,71.1111,22.22%,2,64000,64000040
2006年全年度,1502040021,健仁醫院,3,0,6,6,0%,1,68.6666,0%,0,64000,64000040
2007年全年度,1502040021,健仁醫院,3,0,5,5,0%,1,66.4,20%,1,64000,64000040
2008年全年度,1502040021,健仁醫院,3,0,11,11,0%,2,67.4545,9.09%,1,64000,64000040
2009年全年度,1502040021,健仁醫院,3,0,9,9,0%,1,71,0%,0,64000,64000040
2010年全年度,1502040021,健仁醫院,3,0,14,13,0%,2,71.6153,15.38%,2,64000,64000040
2012年上半年度,1502041117,右昌聯合醫院,3,0,2,2,0%,1,79,0%,0,64000,64000040
2012年全年度,1502041117,右昌聯合醫院,3,0,17,12,0%,2,69.4166,8.33%,1,64000,64000040
2013年上半年度,1502041117,右昌聯合醫院,3,0,7,7,0%,1,69.2857,14.29%,1,64000,64000040
2013年全年度,1502041117,右昌聯合醫院,3,0,18,17,0%,1,70.1176,23.53%,4,64000,64000040
2014年上半年度,1502041117,右昌聯合醫院,3,0,10,10,0%,1,69.8,10%,1,64000,64000040
2014年全年度,1502041117,右昌聯合醫院,3,0.0000,16.0000,16,0%,1,69.2500,6.25%,1,64000,64000040
2015年上半年度,1502041117,右昌聯合醫院,3,0.0000,17.0000,17,0%,1,69.6470,23.53%,4,64000,64000040
2015年全年度,1502041117,右昌聯合醫院,3,0.0000,28.0000,28,0%,1,70.3214,14.29%,4,64000,64000040
2016年上半年度,1502041117,右昌聯合醫院,3,0.0000,15.0000,14,0%,1,72.5714,14.29%,2,64000,64000040
2016年全年度,1502041117,右昌聯合醫院,3,0.0000,29.0000,28,0%,1,72.6071,17.86%,5,64000,64000040
2017年上半年度,1502041117,右昌聯合醫院,3,0.0000,14.0000,13,0%,1,66.4615,7.69%,1,64000,64000040
2017年全年度,1502041117,右昌聯合醫院,3,0.0000,31.0000,29,0%,1,70.2413,10.34%,3,64000,64000040
2018年上半年度,1502041117,右昌聯合醫院,3,0.0000,13.0000,12,0%,1,70.4166,8.33%,1,64000,64000040
2018年全年度,1502041117,右昌聯合醫院,3,0.0000,26.0000,24,0%,1,69.6250,8.33%,2,64000,64000040
2019年上半年度,1502041117,右昌聯合醫院,3,0.0000,10.0000,9,0%,1,72.0000,0%,0,64000,64000040
2019年全年度,1502041117,右昌聯合醫院,3,0.0000,21.0000,19,0%,1,68.8947,0%,0,64000,64000040
2020年上半年度,1502041117,右昌聯合醫院,3,0.0000,9.0000,9,0%,1,67.3333,22.22%,2,64000,64000040
2020年全年度,1502041117,右昌聯合醫院,3,0.0000,20.0000,18,0%,3,69.9444,11.11%,2,64000,64000040
2021年上半年度,1502041117,右昌聯合醫院,3,0.0000,9.0000,9,0%,1,69.6666,11.11%,1,64000,64000040
2021年全年度,1502041117,右昌聯合醫院,3,0.0000,25.0000,25,0%,1,68.7200,28%,7,64000,64000040
2022年上半年度,1502041117,右昌聯合醫院,3,0.0000,22.0000,22,0%,1,66.4090,13.64%,3,64000,64000040
2022年全年度,1502041117,右昌聯合醫院,3,0.0000,46.0000,45,0%,2,70.2444,11.11%,5,64000,64000040
2023年上半年度,1502041117,右昌聯合醫院,3,1.0000,37.0000,37,2.7%,1,69.9189,13.51%,5,64000,64000040
2023年全年度,1502041117,右昌聯合醫院,3,1.0000,73.0000,71,1.37%,1,70.0845,9.86%,7,64000,64000040
2024年上半年度,1502041117,右昌聯合醫院,3,0.0000,25.0000,25,0%,1,72.5200,4%,1,64000,64000040
2024年全年度,1502041117,右昌聯合醫院,3,0.0000,61.0000,61,0%,1,72.1967,18.03%,11,64000,64000040
2025年上半年度,1502041117,右昌聯合醫院,3,0.0000,46.0000,45,0%,1,71.5333,6.67%,3,64000,64000040
2010年全年度,1502041117,右昌聯合醫院,3,0,1,1,0%,1,83,0%,0,64000,64000040
2011年上半年度,1502050296,文雄醫院,3,0,1,1,0%,1,79,0%,0,64000,64000052
2011年全年度,1502050296,文雄醫院,3,0,1,1,0%,1,79,0%,0,64000,64000052
2013年全年度,1502050296,文雄醫院,3,0,1,1,0%,1,71,100%,1,64000,64000052
2014年全年度,1502050296,文雄醫院,3,0.0000,1.0000,1,0%,1,76.0000,0%,0,64000,64000052
2015年上半年度,1502050296,文雄醫院,3,0.0000,1.0000,1,0%,1,64.0000,0%,0,64000,64000052
2015年全年度,1502050296,文雄醫院,3,0.0000,2.0000,2,0%,2,68.5000,50%,1,64000,64000052
2016年上半年度,1502050296,文雄醫院,3,0.0000,1.0000,1,0%,1,75.0000,0%,0,64000,64000052
2016年全年度,1502050296,文雄醫院,3,0.0000,1.0000,1,0%,1,75.0000,0%,0,64000,64000052
2006年全年度,1502050296,文雄醫院,3,0,3,3,0%,1,70.3333,0%,0,64000,64000052
2010年全年度,1502050296,文雄醫院,3,0,2,2,0%,2,73.5,0%,0,64000,64000052
2016年上半年度,1502060112,原祿骨科醫院,3,0.0000,2.0000,2,0%,1,69.0000,0%,0,64000,64000060
2016年全年度,1502060112,原祿骨科醫院,3,0.0000,2.0000,2,0%,1,69.0000,0%,0,64000,64000060
2017年全年度,1502060112,原祿骨科醫院,3,0.0000,1.0000,1,0%,1,52.0000,0%,0,64000,64000060
2018年上半年度,1502060112,原祿骨科醫院,3,0.0000,1.0000,1,0%,1,75.0000,0%,0,64000,64000060
2018年全年度,1502060112,原祿骨科醫院,3,0.0000,1.0000,1,0%,1,75.0000,0%,0,64000,64000060
2019年全年度,1502060112,原祿骨科醫院,3,0.0000,1.0000,1,0%,1,63.0000,0%,0,64000,64000060
2009年全年度,1502060112,原祿骨科醫院,3,0,1,1,0%,1,81,0%,0,64000,64000060
2010年全年度,1502060112,原祿骨科醫院,3,0,1,1,0%,1,59,0%,0,64000,64000060
2011年上半年度,1502110064,安泰醫院,3,0,9,9,0%,1,69.1111,0%,0,64000,64000110
2011年全年度,1502110064,安泰醫院,3,0,16,16,0%,1,71.5,0%,0,64000,64000110
2012年上半年度,1502110064,安泰醫院,3,0,10,9,0%,1,68.8888,11.11%,1,64000,64000110
2012年全年度,1502110064,安泰醫院,3,0,19,18,0%,1,69.9444,11.11%,2,64000,64000110
2013年上半年度,1502110064,安泰醫院,3,0,16,16,0%,1,70,6.25%,1,64000,64000110
2013年全年度,1502110064,安泰醫院,3,0,25,22,0%,1,71.0454,4.55%,1,64000,64000110
2014年上半年度,1502110064,安泰醫院,3,0,16,16,0%,1,68.125,0%,0,64000,64000110
2014年全年度,1502110064,安泰醫院,3,0.0000,23.0000,21,0%,1,66.7142,4.76%,1,64000,64000110
2015年上半年度,1502110064,安泰醫院,3,1.0000,13.0000,13,7.69%,1,70.9230,7.69%,1,64000,64000110
2015年全年度,1502110064,安泰醫院,3,1.0000,29.0000,28,3.45%,1,70.5714,7.14%,2,64000,64000110
2016年上半年度,1502110064,安泰醫院,3,0.0000,17.0000,17,0%,1,71.2941,5.88%,1,64000,64000110
2016年全年度,1502110064,安泰醫院,3,0.0000,35.0000,35,0%,1,70.2571,5.71%,2,64000,64000110
2017年上半年度,1502110064,安泰醫院,3,0.0000,24.0000,24,0%,1,70.8333,4.17%,1,64000,64000110
2017年全年度,1502110064,安泰醫院,3,0.0000,53.0000,52,0%,1,69.3269,1.92%,1,64000,64000110
2018年上半年度,1502110064,安泰醫院,3,0.0000,17.0000,17,0%,1,70.1176,5.88%,1,64000,64000110
2018年全年度,1502110064,安泰醫院,3,0.0000,41.0000,38,0%,1,68.1315,7.89%,3,64000,64000110
2019年上半年度,1502110064,安泰醫院,3,0.0000,22.0000,21,0%,1,67.4761,0%,0,64000,64000110
2019年全年度,1502110064,安泰醫院,3,0.0000,42.0000,40,0%,1,69.4250,2.5%,1,64000,64000110
2020年上半年度,1502110064,安泰醫院,3,0.0000,20.0000,20,0%,2,70.9500,15%,3,64000,64000110
2020年全年度,1502110064,安泰醫院,3,0.0000,50.0000,48,0%,2,70.1041,16.67%,8,64000,64000110
2021年上半年度,1502110064,安泰醫院,3,0.0000,22.0000,21,0%,1,72.3809,4.76%,1,64000,64000110
2021年全年度,1502110064,安泰醫院,3,0.0000,40.0000,39,0%,1,71.1025,5.13%,2,64000,64000110
2022年上半年度,1502110064,安泰醫院,3,0.0000,23.0000,23,0%,1,67.0434,21.74%,5,64000,64000110
2022年全年度,1502110064,安泰醫院,3,0.0000,32.0000,31,0%,2,67.8709,16.13%,5,64000,64000110
2023年上半年度,1502110064,安泰醫院,3,0.0000,24.0000,24,0%,1,73.7500,4.17%,1,64000,64000110
2023年全年度,1502110064,安泰醫院,3,0.0000,69.0000,67,0%,1,70.4925,8.96%,6,64000,64000110
2024年上半年度,1502110064,安泰醫院,3,0.0000,31.0000,31,0%,1,69.4516,16.13%,5,64000,64000110
2024年全年度,1502110064,安泰醫院,3,1.0000,55.0000,53,1.82%,1,70.5660,11.32%,6,64000,64000110
2025年上半年度,1502110064,安泰醫院,3,0.0000,13.0000,13,0%,2,72.3846,7.69%,1,64000,64000110
2006年全年度,1502110064,安泰醫院,3,0,37,36,0%,1,67.5555,0%,0,64000,64000110
2007年全年度,1502110064,安泰醫院,3,0,70,68,0%,1,66.0882,4.41%,3,64000,64000110
2008年全年度,1502110064,安泰醫院,3,0,82,78,0%,1,66.8589,6.41%,5,64000,64000110
2009年全年度,1502110064,安泰醫院,3,0,25,22,0%,2,69,0%,0,64000,64000110
2010年全年度,1502110064,安泰醫院,3,0,12,12,0%,1,70.0833,0%,0,64000,64000110
2017年上半年度,1503010036,漢忠醫院,3,0.0000,2.0000,2,0%,1,67.5000,0%,0,66000,66000090
2017年全年度,1503010036,漢忠醫院,3,0.0000,4.0000,4,0%,1,70.7500,0%,0,66000,66000090
2018年上半年度,1503010036,漢忠醫院,3,0.0000,2.0000,2,0%,1,63.0000,50%,1,66000,66000090
2018年全年度,1503010036,漢忠醫院,3,0.0000,5.0000,5,0%,1,66.2000,20%,1,66000,66000090
2019年上半年度,1503010036,漢忠醫院,3,0.0000,2.0000,2,0%,2,60.5000,0%,0,66000,66000090
2019年全年度,1503010036,漢忠醫院,3,0.0000,4.0000,4,0%,2,68.7500,0%,0,66000,66000090
2020年上半年度,1503010036,漢忠醫院,3,0.0000,3.0000,3,0%,1,62.3333,0%,0,66000,66000090
2020年全年度,1503010036,漢忠醫院,3,0.0000,8.0000,8,0%,1,66.1250,12.5%,1,66000,66000090
2021年上半年度,1503010036,漢忠醫院,3,0.0000,4.0000,4,0%,1,66.5000,0%,0,66000,66000090
2021年全年度,1503010036,漢忠醫院,3,0.0000,8.0000,8,0%,1,64.3750,0%,0,66000,66000090
2022年上半年度,1503010036,漢忠醫院,3,0.0000,4.0000,4,0%,1,71.2500,0%,0,66000,66000090
2022年全年度,1503010036,漢忠醫院,3,0.0000,6.0000,6,0%,1,72.0000,16.67%,1,66000,66000090
2023年上半年度,1503010036,漢忠醫院,3,0.0000,4.0000,4,0%,1,73.7500,25%,1,66000,66000090
2023年全年度,1503010036,漢忠醫院,3,0.0000,7.0000,7,0%,1,72.5714,14.29%,1,66000,66000090
2024年上半年度,1503010036,漢忠醫院,3,0.0000,10.0000,10,0%,1,74.7000,20%,2,66000,66000090
2024年全年度,1503010036,漢忠醫院,3,0.0000,14.0000,14,0%,1,74.6428,21.43%,3,66000,66000090
2025年上半年度,1503010036,漢忠醫院,3,0.0000,3.0000,3,0%,1,62.0000,33.33%,1,66000,66000090
2016年全年度,1503190020,長安醫院,3,0.0000,8.0000,8,0%,1,70.1250,12.5%,1,66000,66000270
2017年上半年度,1503190020,長安醫院,3,0.0000,31.0000,31,0%,3,70.0967,3.23%,1,66000,66000270
2017年全年度,1503190020,長安醫院,3,1.0000,75.0000,72,1.33%,4,70.9027,6.94%,5,66000,66000270
2018年上半年度,1503190020,長安醫院,3,0.0000,36.0000,35,0%,5,68.4571,20%,7,66000,66000270
2018年全年度,1503190020,長安醫院,3,0.0000,87.0000,79,0%,5,68.0000,16.46%,13,66000,66000270
2019年上半年度,1503190020,長安醫院,3,0.0000,35.0000,33,0%,4,70.3030,12.12%,4,66000,66000270
2019年全年度,1503190020,長安醫院,3,0.0000,85.0000,80,0%,4,68.9250,13.75%,11,66000,66000270
2020年上半年度,1503190020,長安醫院,3,0.0000,39.0000,39,0%,4,68.4871,15.38%,6,66000,66000270
2020年全年度,1503190020,長安醫院,3,1.0000,88.0000,88,1.14%,4,67.1477,14.77%,13,66000,66000270
2021年上半年度,1503190020,長安醫院,3,0.0000,48.0000,47,0%,4,71.1914,6.38%,3,66000,66000270
2021年全年度,1503190020,長安醫院,3,0.0000,106.0000,102,0%,4,70.8431,8.82%,9,66000,66000270
2022年上半年度,1503190020,長安醫院,3,0.0000,63.0000,63,0%,4,69.4603,11.11%,7,66000,66000270
2022年全年度,1503190020,長安醫院,3,0.0000,132.0000,129,0%,7,70.2558,13.95%,18,66000,66000270
2023年上半年度,1503190020,長安醫院,3,0.0000,81.0000,79,0%,6,70.7468,5.06%,4,66000,66000270
2023年全年度,1503190020,長安醫院,3,0.0000,166.0000,159,0%,6,70.0440,10.69%,17,66000,66000270
2024年上半年度,1503190020,長安醫院,3,0.0000,61.0000,60,0%,5,70.7333,13.33%,8,66000,66000270
2024年全年度,1503190020,長安醫院,3,1.0000,142.0000,139,.7%,5,70.6187,12.23%,17,66000,66000270
2025年上半年度,1503190020,長安醫院,3,0.0000,77.0000,77,0%,6,70.5324,11.69%,9,66000,66000270
2017年上半年度,1503200012,霧峰澄清醫院,3,0.0000,73.0000,73,0%,2,71.2602,8.22%,6,66000,66000280
2017年全年度,1503200012,霧峰澄清醫院,3,0.0000,155.0000,152,0%,2,70.5263,8.55%,13,66000,66000280
2018年上半年度,1503200012,霧峰澄清醫院,3,0.0000,71.0000,71,0%,2,71.5915,11.27%,8,66000,66000280
2018年全年度,1503200012,霧峰澄清醫院,3,0.0000,171.0000,161,0%,3,72.0496,8.7%,14,66000,66000280
2019年上半年度,1503200012,霧峰澄清醫院,3,0.0000,83.0000,83,0%,3,71.9518,8.43%,7,66000,66000280
2019年全年度,1503200012,霧峰澄清醫院,3,0.0000,167.0000,163,0%,3,71.2576,11.04%,18,66000,66000280
2020年上半年度,1503200012,霧峰澄清醫院,3,0.0000,57.0000,56,0%,3,70.8392,14.29%,8,66000,66000280
2020年全年度,1503200012,霧峰澄清醫院,3,0.0000,145.0000,142,0%,3,71.1197,13.38%,19,66000,66000280
2021年上半年度,1503200012,霧峰澄清醫院,3,0.0000,73.0000,73,0%,3,70.6986,17.81%,13,66000,66000280
2021年全年度,1503200012,霧峰澄清醫院,3,0.0000,139.0000,134,0%,3,71.2313,15.67%,21,66000,66000280
2022年上半年度,1503200012,霧峰澄清醫院,3,0.0000,57.0000,56,0%,2,71.3571,10.71%,6,66000,66000280
2022年全年度,1503200012,霧峰澄清醫院,3,0.0000,115.0000,113,0%,3,71.4159,12.39%,14,66000,66000280
2023年上半年度,1503200012,霧峰澄清醫院,3,0.0000,76.0000,75,0%,3,70.0933,17.33%,13,66000,66000280
2023年全年度,1503200012,霧峰澄清醫院,3,0.0000,152.0000,147,0%,4,69.6938,14.29%,21,66000,66000280
2024年上半年度,1503200012,霧峰澄清醫院,3,0.0000,77.0000,76,0%,4,71.3421,13.16%,10,66000,66000280
2024年全年度,1503200012,霧峰澄清醫院,3,0.0000,134.0000,132,0%,4,70.6136,14.39%,19,66000,66000280
2025年上半年度,1503200012,霧峰澄清醫院,3,1.0000,62.0000,61,1.61%,3,69.5245,21.31%,13,66000,66000280
2017年上半年度,1503260018,臺安醫院雙十分院,3,0.0000,139.0000,134,0%,1,71.9477,17.91%,24,66000,66000050
2017年全年度,1503260018,臺安醫院雙十分院,3,0.0000,314.0000,294,0%,1,72.0476,15.65%,46,66000,66000050
2018年上半年度,1503260018,臺安醫院雙十分院,3,0.0000,174.0000,160,0%,1,71.4812,15.63%,25,66000,66000050
2018年全年度,1503260018,臺安醫院雙十分院,3,0.0000,174.0000,160,0%,1,71.4812,15.63%,25,66000,66000050
2025年上半年度,1503290034,定國骨科醫院,3,0.0000,94.0000,94,0%,1,73.2021,15.96%,15,66000,66000080
2020年全年度,1507300077,博田國際醫院,3,0.0000,13.0000,13,0%,4,68.6153,7.69%,1,64000,64000030
2021年上半年度,1507300077,博田國際醫院,3,0.0000,28.0000,28,0%,4,71.4285,17.86%,5,64000,64000030
2021年全年度,1507300077,博田國際醫院,3,0.0000,65.0000,64,0%,4,71.3281,20.31%,13,64000,64000030
2022年上半年度,1507300077,博田國際醫院,3,1.0000,39.0000,39,2.56%,4,70.1538,23.08%,9,64000,64000030
2022年全年度,1507300077,博田國際醫院,3,2.0000,100.0000,97,2%,4,70.1649,12.37%,12,64000,64000030
2023年上半年度,1507300077,博田國際醫院,3,0.0000,56.0000,53,0%,5,72.2264,5.66%,3,64000,64000030
2023年全年度,1507300077,博田國際醫院,3,0.0000,117.0000,108,0%,6,70.9629,5.56%,6,64000,64000030
2024年上半年度,1507300077,博田國際醫院,3,0.0000,66.0000,66,0%,5,69.1212,15.15%,10,64000,64000030
2024年全年度,1507300077,博田國際醫院,3,0.0000,145.0000,143,0%,6,69.1818,11.89%,17,64000,64000030
2025年上半年度,1507300077,博田國際醫院,3,0.0000,86.0000,83,0%,5,69.8433,4.82%,4,64000,64000030
2015年上半年度,1507330011,七賢脊椎外科醫院,3,0.0000,9.0000,9,0%,1,70.0000,0%,0,64000,64000060
2015年全年度,1507330011,七賢脊椎外科醫院,3,0.0000,40.0000,38,0%,1,68.8684,5.26%,2,64000,64000060
2016年上半年度,1507330011,七賢脊椎外科醫院,3,0.0000,33.0000,32,0%,2,71.9687,12.5%,4,64000,64000060
2016年全年度,1507330011,七賢脊椎外科醫院,3,0.0000,60.0000,58,0%,2,69.0000,8.62%,5,64000,64000060
2017年上半年度,1507330011,七賢脊椎外科醫院,3,0.0000,48.0000,48,0%,2,69.5416,8.33%,4,64000,64000060
2017年全年度,1507330011,七賢脊椎外科醫院,3,0.0000,90.0000,86,0%,2,69.7674,8.14%,7,64000,64000060
2018年上半年度,1507330011,七賢脊椎外科醫院,3,0.0000,34.0000,34,0%,2,71.9117,8.82%,3,64000,64000060
2018年全年度,1507330011,七賢脊椎外科醫院,3,0.0000,66.0000,66,0%,2,71.4848,9.09%,6,64000,64000060
2019年上半年度,1507330011,七賢脊椎外科醫院,3,1.0000,33.0000,33,3.03%,3,71.8787,9.09%,3,64000,64000060
2019年全年度,1507330011,七賢脊椎外科醫院,3,1.0000,58.0000,55,1.72%,3,71.7818,7.27%,4,64000,64000060
2020年上半年度,1507330011,七賢脊椎外科醫院,3,0.0000,22.0000,22,0%,2,71.1818,13.64%,3,64000,64000060
2020年全年度,1507330011,七賢脊椎外科醫院,3,0.0000,43.0000,42,0%,2,70.0714,11.9%,5,64000,64000060
2021年上半年度,1507330011,七賢脊椎外科醫院,3,0.0000,18.0000,18,0%,1,70.6666,5.56%,1,64000,64000060
2021年全年度,1507330011,七賢脊椎外科醫院,3,0.0000,46.0000,44,0%,2,68.5909,4.55%,2,64000,64000060
2022年上半年度,1507330011,七賢脊椎外科醫院,3,0.0000,19.0000,19,0%,2,71.4210,10.53%,2,64000,64000060
2022年全年度,1507330011,七賢脊椎外科醫院,3,0.0000,44.0000,43,0%,2,70.7209,16.28%,7,64000,64000060
2023年上半年度,1507330011,七賢脊椎外科醫院,3,0.0000,32.0000,31,0%,2,72.9032,3.23%,1,64000,64000060
2023年全年度,1507330011,七賢脊椎外科醫院,3,0.0000,73.0000,68,0%,2,72.0588,7.35%,5,64000,64000060
2024年上半年度,1507330011,七賢脊椎外科醫院,3,0.0000,45.0000,44,0%,3,68.6818,15.91%,7,64000,64000060
2024年全年度,1507330011,七賢脊椎外科醫院,3,0.0000,86.0000,84,0%,3,69.5119,8.33%,7,64000,64000060
2025年上半年度,1507330011,七賢脊椎外科醫院,3,1.0000,55.0000,55,1.82%,3,70.8000,7.27%,4,64000,64000060
2021年全年度,1507340053,重仁骨科醫院,3,0.0000,3.0000,3,0%,1,72.0000,0%,0,64000,64000070
2022年上半年度,1507340053,重仁骨科醫院,3,0.0000,3.0000,3,0%,1,63.0000,0%,0,64000,64000070
2022年全年度,1507340053,重仁骨科醫院,3,0.0000,10.0000,10,0%,1,68.3000,10%,1,64000,64000070
2023年上半年度,1507340053,重仁骨科醫院,3,0.0000,16.0000,16,0%,4,70.3125,12.5%,2,64000,64000070
2023年全年度,1507340053,重仁骨科醫院,3,0.0000,22.0000,21,0%,4,71.8095,9.52%,2,64000,64000070
2024年上半年度,1507340053,重仁骨科醫院,3,0.0000,12.0000,12,0%,2,70.6666,25%,3,64000,64000070
2024年全年度,1507340053,重仁骨科醫院,3,0.0000,27.0000,26,0%,4,69.9615,26.92%,7,64000,64000070
2025年上半年度,1507340053,重仁骨科醫院,3,1.0000,33.0000,33,3.03%,4,68.3333,9.09%,3,64000,64000070
2025年上半年度,1507340062,中正脊椎骨科醫院,3,0.0000,141.0000,141,0%,7,70.9645,13.48%,19,64000,64000070
2014年上半年度,1511010068,新昆明醫院,3,0,1,1,0%,1,60,0%,0,10017,10017010
2014年全年度,1511010068,新昆明醫院,3,0.0000,1.0000,1,0%,1,60.0000,0%,0,10017,10017010
2015年上半年度,1511010068,新昆明醫院,3,0.0000,1.0000,1,0%,1,61.0000,0%,0,10017,10017010
2015年全年度,1511010068,新昆明醫院,3,0.0000,2.0000,2,0%,1,68.0000,0%,0,10017,10017010
2016年上半年度,1511010068,新昆明醫院,3,0.0000,1.0000,1,0%,1,76.0000,0%,0,10017,10017010
2016年全年度,1511010068,新昆明醫院,3,0.0000,1.0000,1,0%,1,76.0000,0%,0,10017,10017010
2019年上半年度,1511010068,新昆明醫院,3,0.0000,1.0000,1,0%,1,72.0000,0%,0,10017,10017010
2019年全年度,1511010068,新昆明醫院,3,0.0000,2.0000,2,0%,1,74.0000,0%,0,10017,10017010
2022年上半年度,1511010068,新昆明醫院,3,0.0000,1.0000,1,0%,1,78.0000,0%,0,10017,10017010
2022年全年度,1511010068,新昆明醫院,3,0.0000,2.0000,2,0%,1,78.5000,0%,0,10017,10017010
2023年上半年度,1511010068,新昆明醫院,3,0.0000,1.0000,1,0%,1,75.0000,0%,0,10017,10017010
2023年全年度,1511010068,新昆明醫院,3,0.0000,2.0000,2,0%,1,80.5000,0%,0,10017,10017010
2024年上半年度,1511010068,新昆明醫院,3,0.0000,2.0000,2,0%,1,78.5000,0%,0,10017,10017010
2024年全年度,1511010068,新昆明醫院,3,0.0000,3.0000,3,0%,1,85.3333,0%,0,10017,10017010
2007年全年度,1511010068,新昆明醫院,3,0,1,1,0%,1,60,0%,0,10017,10017010
2008年全年度,1511010068,新昆明醫院,3,0,1,1,0%,1,83,0%,0,10017,10017010
2011年上半年度,1512011185,南門綜合醫院,3,0,6,6,0%,2,68.8333,16.66%,1,10018,10018010
2011年全年度,1512011185,南門綜合醫院,3,0,17,16,0%,3,68.1875,6.25%,1,10018,10018010
2012年上半年度,1512011185,南門綜合醫院,3,0,5,5,0%,2,70.4,0%,0,10018,10018010
2012年全年度,1512011185,南門綜合醫院,3,0,11,11,0%,3,68.1818,0%,0,10018,10018010
2013年上半年度,1512011185,南門綜合醫院,3,1,6,6,16.67%,2,74.1666,0%,0,10018,10018010
2013年全年度,1512011185,南門綜合醫院,3,1,18,18,5.56%,2,73.6111,11.11%,2,10018,10018010
2014年上半年度,1512011185,南門綜合醫院,3,0,10,9,0%,3,73.1111,22.22%,2,10018,10018010
2014年全年度,1512011185,南門綜合醫院,3,0.0000,28.0000,26,0%,3,70.5000,15.38%,4,10018,10018010
2015年上半年度,1512011185,南門綜合醫院,3,0.0000,6.0000,6,0%,1,74.6666,16.67%,1,10018,10018010
2015年全年度,1512011185,南門綜合醫院,3,0.0000,12.0000,12,0%,3,74.4166,25%,3,10018,10018010
2016年上半年度,1512011185,南門綜合醫院,3,0.0000,11.0000,11,0%,3,76.3636,9.09%,1,10018,10018010
2016年全年度,1512011185,南門綜合醫院,3,0.0000,20.0000,19,0%,3,73.4736,10.53%,2,10018,10018010
2017年上半年度,1512011185,南門綜合醫院,3,1.0000,10.0000,10,10%,3,70.8000,0%,0,10018,10018010
2017年全年度,1512011185,南門綜合醫院,3,1.0000,19.0000,18,5.26%,3,71.1111,0%,0,10018,10018010
2018年上半年度,1512011185,南門綜合醫院,3,0.0000,8.0000,8,0%,3,72.5000,12.5%,1,10018,10018010
2018年全年度,1512011185,南門綜合醫院,3,0.0000,30.0000,28,0%,3,71.3571,14.29%,4,10018,10018010
2019年上半年度,1512011185,南門綜合醫院,3,0.0000,13.0000,12,0%,3,68.9166,0%,0,10018,10018010
2019年全年度,1512011185,南門綜合醫院,3,0.0000,22.0000,21,0%,3,69.3809,9.52%,2,10018,10018010
2020年上半年度,1512011185,南門綜合醫院,3,0.0000,12.0000,12,0%,3,72.3333,0%,0,10018,10018010
2020年全年度,1512011185,南門綜合醫院,3,0.0000,24.0000,24,0%,3,70.8750,0%,0,10018,10018010
